コード,方向,案内カテゴリ,案内情報,読み情報,音声情報
545,3,normal,前方は金沢市役所、柿木畠方面です。左は金沢ふるさと偉人館方面への横断歩道です。,前方は金沢市役所、カキノキバタケ方面です。左は金沢ふるさと偉人館方面への横断歩道です。,message/wm00545_3.mp3
546,0,normal,前方は横断歩道があります。左は金沢ふるさと偉人館方面、右は金沢歌劇座方面です。この場所のキーワードは「はたはた」です。,,message/wm00546_0.mp3
546,1,normal,前方は金沢歌劇座前交差点方面です。左は石川国際交流サロン方面への横断歩道です。この場所のキーワードは「はたはた」です。,,message/wm00546_1.mp3
546,2,normal,右は市役所、柿木畠方面です。左は金沢歌劇座前交差点方面です。この場所のキーワードは「はたはた」です。,右は市役所、カキノキバタケ方面です。左は金沢歌劇座前交差点方面です。この場所のキーワードは「はたはた」です。,message/wm00546_2.mp3
546,3,normal,前方は市役所、柿木畠方面です。右は石川国際交流サロン方面への横断歩道があります。この場所のキーワードは「はたはた」です。,前方は市役所、カキノキバタケ方面です。右は石川国際交流サロン方面への横断歩道があります。この場所のキーワードは「はたはた」です。,message/wm00546_3.mp3
548,0,normal,前方は菊川ルートふらっとバス停です。左は金沢ふるさと偉人館、市役所、柿木畠方面です。右は金沢歌劇座前交差点方面です。,前方は菊川ルートふらっとバス停です。左は金沢ふるさと偉人館、市役所、カキノキバタケ方面です。右は金沢歌劇座前交差点方面です。,message/wm00548_0.mp3
548,1,normal,前方は金沢歌劇座前交差点方面です。左は菊川ルートふらっとバス停です。,,message/wm00548_1.mp3
548,2,normal,左は金沢歌劇座前交差点方面です。右は金沢ふるさと偉人館、金沢市役所、柿木畠方面です。,左は金沢歌劇座前交差点方面です。右は金沢ふるさと偉人館、金沢市役所、カキノキバタケ方面です。,message/wm00548_2.mp3
548,3,normal,前方は金沢ふるさと偉人館、金沢市役所、柿木畠方面です。右は菊川ルートふらっとバス停です。,前方は金沢ふるさと偉人館、金沢市役所、カキノキバタケ方面です。右は菊川ルートふらっとバス停です。,message/wm00548_3.mp3
560,0,normal,左は金沢市役所、金沢２１世紀美術館、柿木畠方面です。右は石川国際交流サロン、金沢歌劇座前交差点方面です。,左は金沢市役所、金沢２１世紀美術館、カキノキバタケ方面です。右は石川国際交流サロン、金沢歌劇座前交差点方面です。,message/wm00560_0.mp3
560,1,normal,前方は石川国際交流サロン、金沢歌劇座前交差点方面です。右は金沢ふるさと偉人館方面への横断歩道があります。,,message/wm00560_1.mp3
560,2,normal,前方はふるさと偉人館方面への横断歩道です。左は金沢歌劇座前交差点方面です。右は金沢市役所方面です。,,message/wm00560_2.mp3
560,3,normal,前方は金沢市役所、金沢２１世紀美術館、柿木畠方面です。左は金沢ふるさと偉人館方面への横断歩道です。,前方は金沢市役所、金沢２１世紀美術館、カキノキバタケ方面です。左は金沢ふるさと偉人館方面への横断歩道です。,message/wm00560_3.mp3
576,0,normal,前方は柿木畠方面です。左は金沢歌劇座前交差点方面です。右は金沢市役所方面です。この場所のキーワードは「あんこう」です。,前方はカキノキバタケ方面です。左はふるさと偉人館、金沢歌劇座前交差点方面です。右は金沢市役所方面です。この場所のキーワードは「あんこう」です。,message/wm00576_0.mp3
576,1,normal,前方は市役所方面です。左は柿木畠方面です。この場所のキーワードは「あんこう」です。,前方は市役所方面です。左はカキノキバタケ方面です。この場所のキーワードは「あんこう」です。,message/wm00576_1.mp3
576,2,normal,左は市役所方面です。右はふるさと偉人館、金沢歌劇座前交差点方面です。この場所のキーワードは「あんこう」です。,,message/wm00576_2.mp3
576,3,normal,前方はふるさと偉人館、金沢歌劇座前交差点方面です。右は柿木畠方面です。この場所のキーワードは「あんこう」です。,前方はふるさと偉人館、金沢歌劇座前交差点方面です。右はカキノキバタケ方面です。この場所のキーワードは「あんこう」です。,message/wm00576_3.mp3
577,0,normal,左は柿木畠商店街です。右は金沢市役所方面です。ちなみに、ズワイガニはおよそ7年から8年で親ガニになると考えられています。,左はカキノキバタケ商店街です。右は金沢市役所方面です。ちなみに、ズワイガニはおよそ7年から8年で親ガニになると考えられています。,message/wm00577_0.mp3
577,1,normal,前方は金沢市役所方面です。ちなみに、石川県で水揚げされる雄のズワイガニは「加能がに」、雌は「香箱がに」と呼ばれます。,,message/wm00577_1.mp3
577,2,normal,左は金沢市役所方面です。右は柿木畠商店街です。ちなみに、ゲンゲは漢字で「幻の魚（幻魚）」と書きます。,左は金沢市役所方面です。右はカキノキバタケ商店街です。ちなみに、ゲンゲは漢字で「幻の魚」、水深100メートルより深い海域で生息しています。,message/wm00577_2.mp3
577,3,normal,前方は柿木畠商店街です。この先、誘導用の点字ブロックはありませんが、お店の前に点字ブロックがある場合は、音声案内を聞いてみてください。商店街をぬけると香林坊近くにでます。,前方はカキノキバタケ商店街です。この先、誘導用の点字ブロックはありませんが、お店の前に点字ブロックがある場合は、音声案内を聞いてみてください。商店街をぬけると香林坊近くにでます。,message/wm00577_3.mp3
578,0,normal,右は市役所、広坂２丁目交差点方面、左はふるさと偉人館、柿木畠方面です。この場所のキーワードは「あかえび」です。,右は市役所、広坂２丁目交差点方面、左はふるさと偉人館、カキノキバタケ方面です。この場所のキーワードは「あかえび」です。,message/wm00578_0.mp3
578,1,normal,前方は金沢市役所方面です。右は金沢２１世紀美術館方面への横断歩道があります。この場所のキーワードは「あかえび」です。,,message/wm00578_1.mp3
578,2,normal,前方は横断歩道があります。左は金沢市役所方面です。右は柿木畠方面です。この場所のキーワードは「あかえび」です。,前方は横断歩道があります。左は金沢市役所方面です。右はカキノキバタケ方面です。この場所のキーワードは「あかえび」です。,message/wm00578_2.mp3
578,3,normal,前方は柿木畠方面です。左は金沢２１世紀美術館方面への横断歩道があります。この場所のキーワードは「あかえび」です。,前方はカキノキバタケ方面です。左は２メートル先に金沢２１世紀美術館方面への横断歩道があります。この場所のキーワードは「あかえび」です。,message/wm00578_3.mp3
580,0,normal,前方は金沢市役所方面への横断歩道があります。左は金沢歌劇座前交差点方面です。右は広坂２丁目交差点方面です。,,message/wm00580_0.mp3
580,1,normal,前方は広坂２丁目交差点方面です。左は金沢市役所方面への横断歩道があります。,,message/wm00580_1.mp3
580,2,normal,左は広坂２丁目交差点方面です。右はふるさと偉人館、金沢歌劇座交差点方面です。,,message/wm00580_2.mp3
580,3,normal,前方はふるさと偉人館、金沢歌劇座交差点方面です。右は１メートル先に市役所、柿木畠方面への横断歩道があります。,前方はふるさと偉人館、金沢歌劇座交差点方面です。右は１メートル先に市役所、カキノキバタケ方面への横断歩道があります。,message/wm00580_3.mp3
584,0,normal,左は柿木畠、ふるさと偉人館方面です。右は広坂２丁目交差点、しいのき迎賓館方面です。,左はカキノキバタケ、ふるさと偉人館方面です。右は広坂２丁目交差点、しいのき迎賓館方面です。,message/wm00584_0.mp3
584,1,normal,前方は広坂２丁目交差点、しいのき迎賓館方面です。右は金沢２１世紀美術館市役所側入口です。,,message/wm00584_1.mp3
584,2,normal,前方は金沢２１世紀美術館入口です。 左は広坂２丁目交差点、しいのき迎賓館方面です。右は柿木畠、ふるさと偉人館方面です。,前方は金沢２１世紀美術館入口です。 左は広坂２丁目交差点、しいのき迎賓館方面です。右はカキノキバタケ、ふるさと偉人館方面です。,message/wm00584_2.mp3
584,3,normal,前方は柿木畠、ふるさと偉人館方面です。左は金沢２１世紀美術館入口です。,前方はカキノキバタケ、ふるさと偉人館方面です。左は金沢２１世紀美術館入口です。,message/wm00584_3.mp3
592,0,normal,前方は市役所方面への横断歩道です。左は金沢２１世紀美術館入口、柿木畠方面です。右は広坂２丁目交差点方面です。,前方は市役所方面への横断歩道です。左は金沢２１世紀美術館入口、カキノキバタケ方面です。右は広坂２丁目交差点方面です。,message/wm00592_0.mp3
592,1,normal,前方は広坂２丁目交差点、しいのき迎賓館方面です。左は２メートル先に市役所への横断歩道があります。,,message/wm00592_1.mp3
592,2,normal,左は広坂２丁目交差点、しいのき迎賓館方面です。右は金沢２１世紀美術館入口、柿木畠、ふるさと偉人館方面です。,左は広坂２丁目交差点、しいのき迎賓館方面です。右は金沢２１世紀美術館入口、カキノキバタケ、ふるさと偉人館方面です。,message/wm00592_2.mp3
592,3,normal,前方は金沢２１世紀美術館入口、柿木畠、ふるさと偉人館方面です。右は２メートル先に市役所への横断歩道があります。,前方は金沢２１世紀美術館入口、カキノキバタケ、ふるさと偉人館方面です。右は２メートル先に市役所への横断歩道があります。,message/wm00592_3.mp3
608,0,normal,この方向への案内情報はありません。,,message/wm00608_0.mp3
608,1,normal,前方は側道です。注意してください。この先は金沢市役所入口、広坂2丁目交差点方面です。２０メートル先にバス停があります。,,message/wm00608_1.mp3
608,2,normal,この方向への案内情報はありません。,,message/wm00608_2.mp3
608,3,normal,側道おわりです。前方は柿木畠、ふるさと偉人館方面です。,側道おわりです。前方はカキノキバタケ、ふるさと偉人館方面です。,message/wm00608_3.mp3
640,0,normal,右は市役所、広坂２丁目交差点方面です。左は側道です、注意してください。この場所のキーワードは「がすえび」です。,,message/wm00640_0.mp3
640,1,normal,側道おわりです。前方は金沢市役所入口方面です。２０メートル先にバス停があります。この場所のキーワードは「がすえび」です。,,message/wm00640_1.mp3
640,2,normal,左は金沢市役所入口方面です。右は側道です、注意してください。この場所のキーワードは「がすえび」です。,,message/wm00640_2.mp3
640,3,normal,前方は側道です。注意してください。この先は柿木畠方面です。この場所のキーワードは「がすえび」です。,前方は側道です。注意してください。この先はカキノキバタケ、ふるさと偉人館方面です。この場所のキーワードは「がすえび」です。,message/wm00640_3.mp3
641,0,normal,右は金沢市役所入口、広坂２丁目交差点方面です。左は柿木畠方面です。この場所のキーワードは「さば」です。,右は金沢市役所入口、広坂２丁目交差点方面です。左はカキノキバタケ、ふるさと偉人館方面です。この場所のキーワードは「さば」です。,message/wm00641_0.mp3
641,1,normal,ここはふらっとバス停前です。前方は金沢市役所入口、広坂２丁目交差点方面です。この場所のキーワードは「さば」です。,,message/wm00641_1.mp3
641,2,normal,ここは菊川ルートふらっとバス停前です。この場所のキーワードは「さば」です。,,message/wm00641_2.mp3
641,3,normal,ここは菊川ルートふらっとバス停前です。前方は柿木畠、ふるさと偉人館方面です。この場所のキーワードは「さば」です。,ここは菊川ルートふらっとバス停前です。前方はカキノキバタケ、ふるさと偉人館方面です。この場所のキーワードは「さば」です。,message/wm00641_3.mp3
642,0,normal,前方は金沢市役所入口です。右は広坂２丁目交差点方面です。左は柿木畠方面です。この場所のキーワードは「げんげ」です。,前方は金沢市役所入口です。右は広坂２丁目交差点方面です。左はカキノキバタケ、ふるさと偉人館方面です。この場所のキーワードは「げんげ」です。,message/wm00642_0.mp3
642,1,normal,前方は広坂２丁目交差点、しいのき迎賓館方面です。左は金沢市役所入口です。この場所のキーワードは「げんげ」です。,,message/wm00642_1.mp3
642,2,normal,左は広坂２丁目交差点方面です。右は柿木畠、ふるさと偉人館方面です。この場所のキーワードは「げんげ」です。,左は広坂２丁目交差点、しいのき迎賓館方面です。右はカキノキバタケ、ふるさと偉人館方面です。この場所のキーワードは「げんげ」です。,message/wm00642_2.mp3
642,3,normal,前方は柿木畠、ふるさと偉人館方面です。右は金沢市役所入口です。この場所のキーワードは「げんげ」です。,前方はカキノキバタケ、ふるさと偉人館方面です。右は金沢市役所入口です。この場所のキーワードは「げんげ」です。,message/wm00642_3.mp3
643,0,normal,前方は、兼六園真弓坂口方面です。右は、本多公園、中村記念美術館方面です。左は、金沢21世紀美術館、金沢市役所方面です。,,message/wm00643_0.mp3
643,1,normal,前方は、本多公園、中村記念美術館方面です。左は、兼六園真弓坂口方面です。右は、県立図書館方面です。,,message/wm00643_1.mp3
643,2,normal,ここは、金沢歌劇座前交差点です。前方は、県立図書館方面です。右は、金沢21世紀美術館、金沢市役所方面です。左は、本多公園、中村記念美術館方面です。,,message/wm00643_2.mp3
643,3,normal,ここは、金沢歌劇座前交差点です。前方は、金沢21世紀美術館、金沢市役所方面です。右は、兼六園真弓坂口方面です。左は、県立図書館方面です。,,message/wm00643_3.mp3
644,0,normal,前方は金沢市役所です。左は柿木畠、ふるさと偉人館方面です。右は広坂２丁目交差点、しいのき迎賓館方面です。,前方は金沢市役所です。左はカキノキバタケ、ふるさと偉人館方面です。右は広坂２丁目交差点、しいのき迎賓館方面です。,message/wm00644_0.mp3
644,1,normal,前方は広坂２丁目交差点、しいのき迎賓館方面です。右は金沢２１世紀美術館方面への横断歩道があります。,,message/wm00644_1.mp3
644,2,normal,前方は金沢２１世紀美術館方面への横断歩道です。左は広坂２丁目交差点方面です。右は柿木畠、ふるさと偉人館方面です。,前方は金沢２１世紀美術館方面への横断歩道です。左は広坂２丁目交差点、しいのき迎賓館方面です。右はカキノキバタケ、ふるさと偉人館方面です。,message/wm00644_2.mp3
644,3,normal,前方は柿木畠、ふるさと偉人館方面です。左は金沢２１世紀美術館方面への横断歩道です。右は金沢市役所です。,前方はカキノキバタケ、ふるさと偉人館方面です。左は金沢２１世紀美術館方面への横断歩道です。右は金沢市役所です。,message/wm00644_3.mp3
645,0,normal,"ここは、金沢歌劇座前交差点です。前方は、兼六園真弓坂口方面です。3メートル先に、横断歩道があります。右は、本多公園、中村記念美術館方面です。左は、金沢ふるさと偉人館、金沢市役所方面です。
",,message/wm00645_0.mp3
645,1,normal,前方は、本多公園、中村記念美術館方面です。左は、兼六園真弓坂口方面です。右は、県立図書館方面です。,,message/wm00645_1.mp3
645,2,normal,前方は、県立図書館方面です。右は、金沢ふるさと偉人館、金沢市役所方面です。左は、本多公園、中村記念美術館方面です。,,message/wm00645_2.mp3
645,3,normal,ここは、金沢歌劇座前交差点です。前方は、金沢ふるさと偉人館、金沢市役所方面です。右は、兼六園真弓坂口方面です。左は、県立図書館方面です。,,message/wm00645_3.mp3
646,0,normal,"ここは、金沢歌劇座前交差点です。前方は、金沢21世紀美術館、兼六園方面です。右は、県立図書館、本多公園、中村記念美術館方面です。左は、金沢ふるさと偉人館、金沢市役所方面です。
",,message/wm00646_0.mp3
646,1,normal,ここは、金沢歌劇座前交差点です。前方は、本多公園、中村記念美術館、県立図書館方面です。左は、金沢21世紀美術館、兼六園方面です。右は、金沢歌劇座、金沢中警察署方面です。,ここは、金沢歌劇座前交差点です。前方は、本多公園、中村記念美術館、県立図書館方面です。左は、金沢21世紀美術館、兼六園方面です。右は、金沢歌劇座、金沢ナカ警察署方面です。,message/wm00646_1.mp3
646,2,normal,前方は、金沢歌劇座、金沢中警察署方面です。右は、金沢ふるさと偉人館、金沢市役所方面です。左は、県立図書館、本多公園、中村記念美術館方面です。,前方は、金沢歌劇座、金沢ナカ警察署方面です。右は、金沢ふるさと偉人館、金沢市役所方面です。左は、県立図書館、本多公園、中村記念美術館方面です。,message/wm00646_2.mp3
646,3,normal,前方は、金沢ふるさと偉人館、金沢市役所方面です。右は、金沢21世紀美術館、兼六園方面です。左は、金沢歌劇座、金沢中警察署方面です。,前方は、金沢ふるさと偉人館、金沢市役所方面です。右は、金沢21世紀美術館、兼六園方面です。左は、金沢歌劇座、金沢ナカ警察署方面です。,message/wm00646_3.mp3
649,0,normal,前方は、市役所窓口センター入口です。左は、市役所本庁舎入口、及び金沢21世紀美術館方面です。右は、百万石通り方面です。,,message/wm00649_0.mp3
649,1,normal,左は、市役所窓口センター入口です。前方は、百万石通り方面です。,,message/wm00649_1.mp3
649,2,normal,右は、市役所本庁舎入口および金沢21世紀美術館方面、左は、百万石通り方面です。,,message/wm00649_2.mp3
649,3,normal,右は、市役所窓口センター入口です。前方は、市役所本庁舎入口、及び金沢21世紀美術館方面です。,,message/wm00649_3.mp3
650,0,normal,前方は、市役所本庁舎入口です。左は、金沢21世紀美術館方面です。右は、市役所窓口センター入口および百万石通り方面です。,,message/wm00650_0.mp3
650,1,normal,左は、市役所本庁舎入口です。前方は、市役所窓口センター入口および百万石通り方面です。,,message/wm00650_1.mp3
650,2,normal,右は、金沢21世紀美術館方面、左は、市役所窓口センター入口、および百万石通り方面です。,,message/wm00650_2.mp3
650,3,normal,右は、市役所本庁舎入口です。前方は、金沢21世紀美術館方面です。,,message/wm00650_3.mp3
652,0,normal,前方は、市役所第二本庁舎入口方面です。右は、市役所本庁舎、百万石通り方面です。左は、金沢ふるさと偉人館方面です。,,message/wm00652_0.mp3
652,1,normal,前方は、市役所本庁舎、百万石通り方面です。左は、市役所第二本庁舎入口方面です。,,message/wm00652_1.mp3
652,2,normal,右は、金沢ふるさと偉人館方面です。左は、市役所本庁舎、百万石通り方面です。,,message/wm00652_2.mp3
652,3,normal,前方は、金沢ふるさと偉人館方面です。右は、市役所第二本庁舎入口方面です。,,message/wm00652_3.mp3
657,0,normal,右は、市役所本庁舎、百万石通り、金沢21世紀美術館方面です。,,message/wm00657_0.mp3
657,1,normal,前方は、市役所本庁舎、百万石通り、金沢21世紀美術館方面です。右は、市役所第二本庁舎入口方面です。2メートル先に、自動ドアがあります。,,message/wm00657_1.mp3
657,2,normal,前方は、市役所第二本庁舎入口方面です。2メートル先に、自動ドアがあります。左は、市役所本庁舎、百万石通り、金沢21世紀美術館方面です。,,message/wm00657_2.mp3
657,3,normal,左は、市役所第二本庁舎入口方面です。2メートル先に、自動ドアがあります。,,message/wm00657_3.mp3
658,0,normal,前方は、市役所第二本庁舎入口方面です。右は、市役所本庁舎、百万石通り方面です。左は、竪町方面です。,前方は、市役所第二本庁舎入口方面です。右は、市役所本庁舎、百万石通り方面です。左は、タテマチ方面です。,message/wm00658_0.mp3
658,1,normal,前方は、市役所本庁舎、百万石通り方面です。右は、金沢ふるさと偉人館方面です。左は、市役所第二本庁舎入口方面です。,,message/wm00658_1.mp3
658,2,normal,前方は、金沢ふるさと偉人館方面です。右は、竪町方面です。左は、市役所本庁舎、百万石通り方面です。,前方は、金沢ふるさと偉人館方面です。右は、タテマチ方面です。左は、市役所本庁舎、百万石通り方面です。,message/wm00658_2.mp3
658,3,normal,前方は、竪町方面です。右は、市役所第二本庁舎入口方面です。左は、金沢ふるさと偉人館方面です。,前方は、タテマチ方面です。右は、市役所第二本庁舎入口方面です。左は、金沢ふるさと偉人館方面です。,message/wm00658_3.mp3
660,0,normal,前方は、市役所第二本庁舎入口方面です。,,message/wm00660_0.mp3
660,1,normal,左は、市役所第二本庁舎入口方面です。,,message/wm00660_1.mp3
660,2,normal,前方は、1メートル先に、市役所本庁舎、百万石通り、金沢21世紀美術館方面への案内ブロックがあります。,,message/wm00660_2.mp3
660,3,normal,右は、市役所第二本庁舎入口方面です。,,message/wm00660_3.mp3
664,0,normal,右は、市役所本庁舎、百万石通り、金沢21世紀美術館方面です。,,message/wm00664_0.mp3
664,1,normal,前方は、市役所本庁舎、百万石通り、金沢21世紀美術館方面です。右は、市役所第二本庁舎入口方面です。2メートル進んだ、右手方向に、自動ドアがあります。,,message/wm00664_1.mp3
664,2,normal,前方は、市役所第二本庁舎入口方面です。2メートル進んだ、右手方向に、自動ドアがあります。左は、市役所本庁舎、百万石通り、金沢21世紀美術館方面です。,,message/wm00664_2.mp3
664,3,normal,左は、市役所第二本庁舎入口方面です。2メートル進んだ、右手方向に、自動ドアがあります。,,message/wm00664_3.mp3
771,0,normal,前方は柿木畠商店街方面です。右は香林坊交差点方面です。左は幅6メートルの、側道があります。注意してください。その先は金沢市役所・兼六園方面です。,前方はカキノキバタケ商店街方面です。右は香林坊交差点方面です。左は幅6メートルの、側道があります。注意してください。その先は金沢市役所・兼六園方面です。,message/wm00771_0.mp3
771,1,normal,側道が終わりました。前方は香林坊交差点方面です。左は柿木畠商店街方面です。,側道が終わりました。前方は香林坊交差点方面です。左はカキノキバタケ商店街方面です。,message/wm00771_1.mp3
771,2,normal,右は幅6メートルの、側道があります。注意してください。その先は金沢市役所・兼六園方面です。左は香林坊交差点方面です。,,message/wm00771_2.mp3
771,3,normal,前方は幅6メートルの、側道があります。注意してください。その先は金沢市役所・兼六園方面です。右は柿木畠商店街方面です。,前方は幅6メートルの、側道があります。注意してください。その先は金沢市役所・兼六園方面です。右はカキノキバタケ商店街方面です。,message/wm00771_3.mp3
773,0,normal,前方は柿木畠商店街方面です。右は幅6メートルの、側道があります。注意してください。その先は香林坊交差点方面です。左は金沢市役所・兼六園方面です。,前方はカキノキバタケ商店街方面です。右は幅6メートルの、側道があります。注意してください。その先は香林坊交差点方面です。左は金沢市役所・兼六園方面です。,message/wm00773_0.mp3
773,1,normal,前方は幅6メートルの、側道があります。注意してください。その先は香林坊交差点方面です。左は柿木畠商店街方面です。,前方は幅6メートルの、側道があります。注意してください。その先は香林坊交差点方面です。左はカキノキバタケ商店街方面です。,message/wm00773_1.mp3
773,2,normal,右は金沢市役所・兼六園方面です。左は幅6メートルの、側道があります。注意してください。その先は香林坊交差点方面です。,,message/wm00773_2.mp3
773,3,normal,側道が終わりました。前方は金沢市役所・兼六園方面です。右は柿木畠商店街方面です。,側道が終わりました。前方は金沢市役所・兼六園方面です。右はカキノキバタケ商店街方面です。,message/wm00773_3.mp3
774,0,normal,ここは市役所前交差点です。前方は香林坊交差点方面です。右はいしかわ四高記念公園、しいのき迎賓館方面への横断歩道です。,ここは市役所前交差点です。前方は香林坊交差点方面です。右はいしかわシコウ記念公園、しいのき迎賓館方面への横断歩道です。,message/wm00774_0.mp3
